borrower,scenario,metric,excel_value,python_value,difference,status
IntegratedCo,Severe Transition,net_leverage,2.7501270439123546,2.750127043912354,-4.440892098500626e-16,PASS
IntegratedCo,Severe Transition,ebitda_change,-0.44245,-0.44245,0.0,PASS
IntegratedCo,Severe Transition,credit_stress_multiplier,5.0,5.0,0.0,PASS
IntegratedCo,Severe Transition,stressed_pd,0.05,0.05,0.0,PASS
IntegratedCo,Severe Transition,stressed_lgd,0.5,0.5,0.0,PASS
IntegratedCo,Severe Transition,ead,800.0,800.0,0.0,PASS
IntegratedCo,Severe Transition,expected_credit_loss,20.0,20.0,0.0,PASS
IntegratedCo,Severe Transition,ecl_rate,0.025,0.025,0.0,PASS
ServicesCo,Accelerated Transition,revenue,2992.5,2992.5,0.0,PASS
ServicesCo,Accelerated Transition,ebitda,560.7196875000001,560.7196875000001,0.0,PASS
ServicesCo,Accelerated Transition,ebitda_margin,0.187375,0.187375,0.0,PASS
ServicesCo,Accelerated Transition,carbon_cost,7.8553125,7.8553125,0.0,PASS
ServicesCo,Accelerated Transition,transition_capex,149.625,149.625,0.0,PASS
ServicesCo,Accelerated Transition,cfads,106.98673437500008,106.98673437500008,0.0,PASS
ServicesCo,Accelerated Transition,debt_service,320.0,320.0,0.0,PASS
ServicesCo,Accelerated Transition,dscr,0.3343335449218753,0.3343335449218753,0.0,PASS
ServicesCo,Accelerated Transition,interest_coverage,4.005140625,4.005140625,0.0,PASS
ServicesCo,Accelerated Transition,net_leverage,2.7643045795498304,2.7643045795498304,0.0,PASS
ServicesCo,Accelerated Transition,ebitda_change,-0.1989718749999999,-0.1989718749999999,0.0,PASS
ServicesCo,Accelerated Transition,credit_stress_multiplier,5.0,5.0,0.0,PASS
ServicesCo,Accelerated Transition,stressed_pd,0.125,0.125,0.0,PASS
ServicesCo,Accelerated Transition,stressed_lgd,0.5,0.5,0.0,PASS
ServicesCo,Accelerated Transition,ead,300.0,300.0,0.0,PASS
ServicesCo,Accelerated Transition,expected_credit_loss,18.75,18.75,0.0,PASS
ServicesCo,Accelerated Transition,ecl_rate,0.0625,0.0625,0.0,PASS
ServicesCo,Current Policies-style,revenue,3500.0,3500.0,0.0,PASS
ServicesCo,Current Policies-style,ebitda,700.0,700.0,0.0,PASS
ServicesCo,Current Policies-style,ebitda_margin,0.2,0.2,0.0,PASS
ServicesCo,Current Policies-style,carbon_cost,0.0,0.0,0.0,PASS
ServicesCo,Current Policies-style,transition_capex,0.0,0.0,0.0,PASS
ServicesCo,Current Policies-style,cfads,375.0,375.0,0.0,PASS
ServicesCo,Current Policies-style,debt_service,320.0,320.0,0.0,PASS
ServicesCo,Current Policies-style,dscr,1.171875,1.171875,0.0,PASS
ServicesCo,Current Policies-style,interest_coverage,5.0,5.0,0.0,PASS
ServicesCo,Current Policies-style,net_leverage,2.2142857142857144,2.2142857142857144,0.0,PASS
ServicesCo,Current Policies-style,ebitda_change,0.0,0.0,0.0,PASS
ServicesCo,Current Policies-style,credit_stress_multiplier,1.0,1.0,0.0,PASS
ServicesCo,Current Policies-style,stressed_pd,0.025,0.025,0.0,PASS
ServicesCo,Current Policies-style,stressed_lgd,0.5,0.5,0.0,PASS
ServicesCo,Current Policies-style,ead,300.0,300.0,0.0,PASS
ServicesCo,Current Policies-style,expected_credit_loss,3.75,3.75,0.0,PASS
ServicesCo,Current Policies-style,ecl_rate,0.0125,0.0125,0.0,PASS
ServicesCo,Severe Transition,revenue,2362.5,2362.5,0.0,PASS
ServicesCo,Severe Transition,ebitda,389.221875,389.221875,0.0,PASS
ServicesCo,Severe Transition,ebitda_margin,0.16475,0.16475,0.0,PASS
ServicesCo,Severe Transition,carbon_cost,12.403125,12.403125,0.0,PASS
ServicesCo,Severe Transition,transition_capex,236.25,236.25,0.0,PASS
ServicesCo,Severe Transition,cfads,-125.41140624999997,-125.41140624999996,1.4210854715202004e-14,PASS
ServicesCo,Severe Transition,debt_service,320.0,320.0,0.0,PASS
ServicesCo,Severe Transition,dscr,-0.3919106445312499,-0.3919106445312499,0.0,PASS
ServicesCo,Severe Transition,interest_coverage,2.78015625,2.78015625,0.0,PASS
ServicesCo,Severe Transition,net_leverage,3.9823044375396424,3.9823044375396415,-8.881784197001252e-16,PASS
ServicesCo,Severe Transition,ebitda_change,-0.44396875,-0.44396875,0.0,PASS
ServicesCo,Severe Transition,credit_stress_multiplier,5.0,5.0,0.0,PASS
ServicesCo,Severe Transition,stressed_pd,0.125,0.125,0.0,PASS
ServicesCo,Severe Transition,stressed_lgd,0.6,0.6,0.0,PASS
ServicesCo,Severe Transition,ead,300.0,300.0,0.0,PASS
ServicesCo,Severe Transition,expected_credit_loss,22.5,22.5,0.0,PASS
ServicesCo,Severe Transition,ecl_rate,0.075,0.075,0.0,PASS
UpstreamCo,Accelerated Transition,revenue,4275.0,4275.0,0.0,PASS
UpstreamCo,Accelerated Transition,ebitda,1405.40625,1405.40625,0.0,PASS
UpstreamCo,Accelerated Transition,ebitda_margin,0.32875,0.32875,0.0,PASS
UpstreamCo,Accelerated Transition,carbon_cost,48.09375,48.09375,0.0,PASS
UpstreamCo,Accelerated Transition,transition_capex,213.75,213.75,0.0,PASS
UpstreamCo,Accelerated Transition,cfads,330.8453125000001,330.8453125000001,0.0,PASS
UpstreamCo,Accelerated Transition,debt_service,480.0,480.0,0.0,PASS
UpstreamCo,Accelerated Transition,dscr,0.6892610677083335,0.6892610677083335,0.0,PASS
UpstreamCo,Accelerated Transition,interest_coverage,7.8078125,7.8078125,0.0,PASS
UpstreamCo,Accelerated Transition,net_leverage,1.849998888221822,1.849998888221822,0.0,PASS
UpstreamCo,Accelerated Transition,ebitda_change,-0.19691071428571427,-0.1969107142857142,8.326672684688674e-17,PASS
UpstreamCo,Accelerated Transition,credit_stress_multiplier,5.0,5.0,0.0,PASS
UpstreamCo,Accelerated Transition,stressed_pd,0.075,0.075,0.0,PASS
UpstreamCo,Accelerated Transition,stressed_lgd,0.45,0.45,0.0,PASS
UpstreamCo,Accelerated Transition,ead,500.0,500.0,0.0,PASS
UpstreamCo,Accelerated Transition,expected_credit_loss,16.875,16.875,0.0,PASS
UpstreamCo,Accelerated Transition,ecl_rate,0.03375,0.03375,0.0,PASS
UpstreamCo,Current Policies-style,revenue,5000.0,5000.0,0.0,PASS
UpstreamCo,Current Policies-style,ebitda,1750.0,1750.0,0.0,PASS
UpstreamCo,Current Policies-style,ebitda_margin,0.35,0.35,0.0,PASS
UpstreamCo,Current Policies-style,carbon_cost,0.0,0.0,0.0,PASS
UpstreamCo,Current Policies-style,transition_capex,0.0,0.0,0.0,PASS
UpstreamCo,Current Policies-style,cfads,837.5,837.5,0.0,PASS
UpstreamCo,Current Policies-style,debt_service,480.0,480.0,0.0,PASS
UpstreamCo,Current Policies-style,dscr,1.7447916666666667,1.7447916666666667,0.0,PASS
UpstreamCo,Current Policies-style,interest_coverage,9.722222222222221,9.72222222222222,-1.7763568394002505e-15,PASS
UpstreamCo,Current Policies-style,net_leverage,1.4857142857142858,1.4857142857142858,0.0,PASS
UpstreamCo,Current Policies-style,ebitda_change,0.0,0.0,0.0,PASS
UpstreamCo,Current Policies-style,credit_stress_multiplier,1.0,1.0,0.0,PASS
UpstreamCo,Current Policies-style,stressed_pd,0.015,0.015,0.0,PASS
UpstreamCo,Current Policies-style,stressed_lgd,0.45,0.45,0.0,PASS
UpstreamCo,Current Policies-style,ead,500.0,500.0,0.0,PASS
UpstreamCo,Current Policies-style,expected_credit_loss,3.375,3.375,0.0,PASS
UpstreamCo,Current Policies-style,ecl_rate,0.00675,0.00675,0.0,PASS
UpstreamCo,Severe Transition,revenue,3375.0,3375.0,0.0,PASS
UpstreamCo,Severe Transition,ebitda,1004.0625,1004.0625,0.0,PASS
UpstreamCo,Severe Transition,ebitda_margin,0.2975,0.2975,0.0,PASS
UpstreamCo,Severe Transition,carbon_cost,75.9375,75.9375,0.0,PASS
UpstreamCo,Severe Transition,transition_capex,337.5,337.5,0.0,PASS
UpstreamCo,Severe Transition,cfads,-134.046875,-134.046875,0.0,PASS
UpstreamCo,Severe Transition,debt_service,480.0,480.0,0.0,PASS
UpstreamCo,Severe Transition,dscr,-0.27926432291666664,-0.2792643229166666,5.551115123125783e-17,PASS
UpstreamCo,Severe Transition,interest_coverage,5.578125,5.578125,0.0,PASS
UpstreamCo,Severe Transition,net_leverage,2.58948023653906,2.58948023653906,0.0,PASS
UpstreamCo,Severe Transition,ebitda_change,-0.42625,-0.42625,0.0,PASS
UpstreamCo,Severe Transition,credit_stress_multiplier,5.0,5.0,0.0,PASS
UpstreamCo,Severe Transition,stressed_pd,0.075,0.075,0.0,PASS
UpstreamCo,Severe Transition,stressed_lgd,0.55,0.55,0.0,PASS
UpstreamCo,Severe Transition,ead,500.0,500.0,0.0,PASS
UpstreamCo,Severe Transition,expected_credit_loss,20.625,20.625,0.0,PASS
UpstreamCo,Severe Transition,ecl_rate,0.04125,0.04125,0.0,PASS
